name,x,y,mag,counts
N/A,1247.4,4150.9,N/A,N/A
N/A,1310.6,4151.3,N/A,N/A
N/A,1403.1,4151.4,N/A,N/A
N/A,1383.9,4151.3,N/A,N/A
GSC06326-01448,3765.1,1351.6,12.13,86210.0
GSC06326-01419,4309.8,480.85,12.23,81310.0
GSC06326-01678,794.84,818.09,11.8,78800.0
N/A,4314.9,472.28,N/A,72480.0
GSC06892-00163,3951.6,3161.6,11.78,62600.0
GSC06892-00449,1943.6,3804.1,11.58,54840.0
N/A,63.238,3486.7,N/A,48110.0
N/A,4562.3,3627.6,N/A,46490.0
GSC06326-01330,1786.3,34.42,12.22,46170.0
GSC06892-00074,4211.8,2927.9,12.72,41080.0
GSC06326-01157,3942.6,288.83,12.53,40790.0
N/A,3946.7,281.26,N/A,36630.0
GSC06892-00572,2151.5,3533.9,12.99,34370.0
GSC06326-01441,1702.0,1701.2,12.45,31910.0
N/A,2180.6,1862.0,N/A,30550.0
GSC06892-00248,3525.5,1973.8,13.18,29530.0
N/A,1300.9,1767.2,N/A,27180.0
GSC06892-00098,671.96,1953.3,13.47,26330.0
N/A,1290.3,1771.5,N/A,23390.0
GSC06326-01309,552.98,321.74,13.45,22920.0
GSC06326-01515,882.93,460.84,13.95,22620.0
GSC06892-00469,2366.9,3319.9,13.32,21930.0
GSC06326-01501,2836.5,1574.1,13.82,18790.0
GSC06326-01428,1289.6,30.525,14.1,18660.0
GSC06892-00310,1856.7,2314.6,13.54,16690.0
GSC06892-00545,2226.7,3399.5,13.62,16560.0
GSC06892-00009,1642.6,2095.6,14.23,16430.0
GSC06326-00978,4180.5,547.95,13.99,16260.0
GSC06892-00123,1726.7,2259.9,13.88,16220.0
N/A,388.34,3233.3,N/A,16020.0
N/A,4184.7,540.78,N/A,14760.0
N/A,4830.0,3949.7,N/A,14590.0
GSC06326-01273,4407.7,736.49,14.12,14180.0
N/A,4415.2,724.86,N/A,13810.0
N/A,1265.8,1098.9,N/A,13380.0
GSC06892-00379,4662.3,2835.6,14.21,13360.0
N/A,711.8,1623.8,N/A,12540.0
GSC06892-00401,1445.5,2603.9,14.28,12200.0
GSC06326-01220,3486.9,283.84,14.41,12060.0
GSC06892-00536,1379.6,2659.3,14.27,11600.0
GSC06892-00045,3572.2,2489.3,13.79,11460.0
N/A,3489.9,277.97,N/A,11240.0
N/A,4832.2,1316.2,N/A,10800.0
N/A,1079.1,1950.7,N/A,10510.0
N/A,4840.3,1305.4,N/A,10270.0
GSC06892-00279,982.26,2457.7,14.4,10230.0
GSC06892-00334,2699.9,3161.5,14.02,10060.0
GSC06326-01585,1089.0,459.75,13.6,9767.0
GSC06892-00233,4306.7,2032.9,14.11,9327.0
GSC06892-00382,3197.1,2123.3,14.95,9190.0
GSC06326-01168,1858.7,292.57,13.96,9183.0
GSC06326-01239,2206.0,1285.7,15.01,8559.0
GSC06892-00424,3554.8,2414.3,14.28,8462.0
GSC06892-00557,2945.5,3685.9,14.61,8395.0
N/A,4932.3,1546.5,N/A,8109.0
GSC06892-00096,2131.9,4061.8,14.2,8080.0
N/A,121.46,2359.3,N/A,8024.0
N/A,4832.9,2359.4,N/A,7996.0
GSC06892-00479,2821.1,3315.9,14.59,7957.0
GSC06326-01415,4037.7,1631.5,14.34,7582.0
GSC06892-00151,2730.5,2296.9,14.44,7581.0
N/A,3824.3,4112.7,N/A,7576.0
GSC06892-00035,4438.4,2610.8,14.5,7551.0
N/A,134.18,3232.0,N/A,7316.0
N/A,1662.1,1057.5,N/A,7313.0
GSC06892-00407,1295.3,2810.5,15.17,7172.0
N/A,389.38,1990.1,N/A,7039.0
N/A,39.448,3842.0,N/A,7002.0
N/A,1013.6,3114.2,N/A,6928.0
GSC06326-01451,552.56,1689.0,15.19,6887.0
GSC06892-00011,2107.4,3748.0,15.25,6705.0
GSC06892-00065,2834.3,2663.1,14.84,6513.0
GSC06326-01051,1340.2,808.83,14.67,6491.0
GSC06892-00554,1752.3,3031.9,14.95,6136.0
GSC06326-01466,4678.6,1895.1,14.58,6088.0
GSC06892-00332,2682.3,2316.9,14.39,5985.0
GSC06326-01488,4614.1,1719.0,15.18,5835.0
GSC06326-01091,3618.3,1020.9,14.59,5643.0
N/A,452.64,3391.0,N/A,5488.0
GSC06326-01509,2904.2,774.36,14.9,5488.0
N/A,4393.6,3476.9,N/A,5346.0
GSC06326-01482,1565.2,482.32,14.76,5338.0
GSC06892-00068,2777.9,2294.9,15.21,5264.0
GSC06326-01431,3623.4,1599.0,15.4,5259.0
GSC06892-00446,2762.0,4035.3,14.85,5236.0
GSC06892-00139,2786.6,2500.5,13.97,5074.0
GSC06326-01559,3076.2,1897.5,15.0,5007.0
N/A,196.03,1290.7,N/A,4796.0
GSC06326-01328,2717.3,1266.4,14.65,4662.0
GSC06326-01541,1044.7,1543.7,15.49,4608.0
GSC06326-01280,2724.5,997.55,14.83,4588.0
GSC06892-00349,2611.1,2020.9,15.19,4181.0
N/A,3977.4,3833.7,N/A,4083.0
GSC06892-00329,1385.3,1919.2,14.45,4050.0
N/A,87.197,3685.4,N/A,4048.0
N/A,4703.4,3486.6,N/A,3987.0
GSC06892-00006,598.31,2419.8,15.51,3701.0
N/A,2140.6,3810.2,N/A,3700.0
GSC06892-00583,2209.1,2695.4,15.17,3651.0
GSC06326-01491,2414.2,1376.8,14.97,3624.0
GSC06892-00891,3476.6,3974.1,15.29,3577.0
