name,x,y,mag,counts
N/A,4015.6,9.7292,N/A,N/A
N/A,4013.6,13.877,N/A,N/A
N/A,2307.1,21.704,N/A,N/A
N/A,2876.3,23.054,N/A,N/A
N/A,1707.6,29.127,N/A,N/A
N/A,3253.9,34.247,N/A,N/A
N/A,3375.4,69.631,N/A,N/A
N/A,316.23,68.792,N/A,N/A
N/A,3374.4,72.821,N/A,N/A
N/A,1223.9,101.66,N/A,N/A
N/A,3401.8,152.94,N/A,N/A
N/A,3399.9,156.89,N/A,N/A
N/A,3897.3,171.65,N/A,N/A
N/A,3993.1,182.59,N/A,N/A
N/A,4243.3,215.02,N/A,N/A
N/A,2562.6,221.67,N/A,N/A
N/A,2150.1,239.0,N/A,N/A
N/A,3286.0,252.05,N/A,N/A
N/A,3678.2,258.26,N/A,N/A
N/A,3428.3,266.65,N/A,N/A
N/A,2158.6,294.1,N/A,N/A
N/A,3476.4,307.05,N/A,N/A
N/A,1080.9,328.78,N/A,N/A
N/A,312.73,342.67,N/A,N/A
N/A,2258.1,350.23,N/A,N/A
N/A,622.4,356.07,N/A,N/A
N/A,3887.1,375.33,N/A,N/A
N/A,4913.3,379.23,N/A,N/A
N/A,5056.8,388.75,N/A,N/A
N/A,3835.2,386.55,N/A,N/A
N/A,1415.7,392.84,N/A,N/A
N/A,3010.5,398.72,N/A,N/A
N/A,1152.3,403.26,N/A,N/A
N/A,2434.5,405.15,N/A,N/A
N/A,3553.2,409.02,N/A,N/A
N/A,623.74,414.35,N/A,N/A
N/A,1374.3,437.05,N/A,N/A
N/A,5005.5,454.89,N/A,N/A
N/A,2844.1,454.94,N/A,N/A
N/A,5002.6,459.38,N/A,N/A
N/A,632.04,462.73,N/A,N/A
N/A,2292.3,461.69,N/A,N/A
N/A,2944.8,460.73,N/A,N/A
N/A,2127.8,463.41,N/A,N/A
N/A,793.78,463.71,N/A,N/A
N/A,3354.0,477.59,N/A,N/A
N/A,2789.6,495.4,N/A,N/A
N/A,3513.9,501.84,N/A,N/A
N/A,5047.3,516.16,N/A,N/A
N/A,2003.6,521.09,N/A,N/A
