name,x,y,mag,counts
N/A,4016.0,10.496,N/A,N/A
N/A,4356.3,8.2946,N/A,N/A
N/A,2308.3,20.357,N/A,N/A
N/A,2877.4,21.753,N/A,N/A
N/A,1709.0,28.782,N/A,N/A
N/A,4581.8,33.071,N/A,N/A
N/A,3255.3,32.057,N/A,N/A
N/A,793.37,43.206,N/A,N/A
N/A,3454.9,59.693,N/A,N/A
N/A,3376.1,69.483,N/A,N/A
N/A,317.41,68.518,N/A,N/A
N/A,1224.9,100.89,N/A,N/A
N/A,3401.6,153.64,N/A,N/A
N/A,3899.1,169.01,N/A,N/A
N/A,3995.3,178.72,N/A,N/A
N/A,3993.1,182.6,N/A,N/A
N/A,4245.4,212.29,N/A,N/A
N/A,2563.6,219.53,N/A,N/A
N/A,2151.4,238.04,N/A,N/A
N/A,3287.3,249.83,N/A,N/A
N/A,3679.2,257.2,N/A,N/A
N/A,3429.2,265.73,N/A,N/A
N/A,168.62,277.57,N/A,N/A
N/A,2159.8,292.69,N/A,N/A
N/A,3477.3,305.81,N/A,N/A
N/A,1082.1,327.66,N/A,N/A
N/A,313.77,342.01,N/A,N/A
N/A,2259.2,349.27,N/A,N/A
N/A,623.54,356.3,N/A,N/A
N/A,3888.0,374.18,N/A,N/A
N/A,4914.3,377.69,N/A,N/A
N/A,5057.1,388.21,N/A,N/A
N/A,3836.1,385.42,N/A,N/A
N/A,1416.8,391.91,N/A,N/A
N/A,3011.5,397.51,N/A,N/A
N/A,1153.0,402.44,N/A,N/A
N/A,2435.5,404.25,N/A,N/A
N/A,3554.2,408.36,N/A,N/A
N/A,624.94,414.12,N/A,N/A
N/A,1375.5,436.33,N/A,N/A
N/A,5005.5,454.46,N/A,N/A
N/A,2845.1,453.76,N/A,N/A
N/A,2945.8,459.24,N/A,N/A
N/A,633.13,461.67,N/A,N/A
N/A,794.17,462.15,N/A,N/A
N/A,2293.4,460.55,N/A,N/A
N/A,2128.9,462.7,N/A,N/A
N/A,3354.9,476.17,N/A,N/A
N/A,2790.7,493.33,N/A,N/A
N/A,3810.2,495.77,N/A,N/A
N/A,3514.9,499.8,N/A,N/A
N/A,967.76,512.96,N/A,N/A
N/A,5046.5,517.07,N/A,N/A
N/A,2004.7,520.04,N/A,N/A
N/A,3047.9,519.26,N/A,N/A
N/A,828.81,524.9,N/A,N/A
N/A,2975.9,525.77,N/A,N/A
N/A,2551.0,554.74,N/A,N/A
N/A,1370.2,559.14,N/A,N/A
N/A,2639.1,564.08,N/A,N/A
N/A,521.5,565.47,N/A,N/A
N/A,831.85,575.86,N/A,N/A
N/A,874.82,627.65,N/A,N/A
N/A,1385.7,633.48,N/A,N/A
N/A,2534.0,636.55,N/A,N/A
N/A,2676.7,642.85,N/A,N/A
N/A,439.15,655.03,N/A,N/A
