name,x,y,mag,counts
N/A,2082.2,10.886,N/A,N/A
N/A,4357.7,15.39,N/A,N/A
N/A,4016.8,16.519,N/A,N/A
N/A,2309.6,25.991,N/A,N/A
N/A,2878.9,27.611,N/A,N/A
N/A,1710.5,34.623,N/A,N/A
N/A,3257.1,37.244,N/A,N/A
N/A,4583.5,38.538,N/A,N/A
N/A,3934.5,45.926,N/A,N/A
N/A,2719.3,44.174,N/A,N/A
N/A,81.264,52.792,N/A,N/A
N/A,3932.3,52.451,N/A,N/A
N/A,3456.1,64.974,N/A,N/A
N/A,3377.3,74.259,N/A,N/A
N/A,318.84,74.511,N/A,N/A
N/A,2209.2,79.475,N/A,N/A
N/A,1226.3,107.09,N/A,N/A
N/A,4083.8,108.05,N/A,N/A
N/A,1044.3,156.76,N/A,N/A
N/A,3403.5,157.61,N/A,N/A
N/A,4535.2,157.03,N/A,N/A
N/A,1451.7,161.23,N/A,N/A
N/A,3900.3,175.04,N/A,N/A
N/A,3164.0,174.42,N/A,N/A
N/A,3996.1,184.82,N/A,N/A
N/A,4246.0,218.59,N/A,N/A
N/A,2565.0,225.0,N/A,N/A
N/A,2152.6,243.6,N/A,N/A
N/A,3405.0,247.82,N/A,N/A
N/A,3404.4,250.35,N/A,N/A
N/A,2069.4,254.71,N/A,N/A
N/A,3288.2,256.99,N/A,N/A
N/A,3680.5,262.99,N/A,N/A
N/A,3430.6,271.59,N/A,N/A
N/A,169.91,282.87,N/A,N/A
N/A,4257.9,289.07,N/A,N/A
N/A,2161.4,299.38,N/A,N/A
N/A,959.35,307.13,N/A,N/A
N/A,3478.3,311.88,N/A,N/A
N/A,1083.5,333.72,N/A,N/A
N/A,315.12,348.35,N/A,N/A
N/A,2260.6,355.12,N/A,N/A
N/A,624.29,361.53,N/A,N/A
N/A,4834.1,365.67,N/A,N/A
N/A,3062.4,382.15,N/A,N/A
N/A,3889.5,379.79,N/A,N/A
N/A,4915.5,384.4,N/A,N/A
N/A,3837.5,390.93,N/A,N/A
N/A,5057.0,394.99,N/A,N/A
N/A,1418.2,398.09,N/A,N/A
N/A,3012.8,403.13,N/A,N/A
N/A,1154.2,408.51,N/A,N/A
N/A,2436.8,410.15,N/A,N/A
N/A,3556.1,413.24,N/A,N/A
N/A,625.98,419.67,N/A,N/A
N/A,1377.0,442.46,N/A,N/A
N/A,101.73,443.13,N/A,N/A
N/A,1823.8,445.89,N/A,N/A
N/A,1174.0,453.06,N/A,N/A
N/A,993.18,456.73,N/A,N/A
N/A,5.7787,457.9,N/A,N/A
N/A,2846.4,459.51,N/A,N/A
N/A,5006.1,461.43,N/A,N/A
N/A,3158.8,460.94,N/A,N/A
N/A,2947.1,465.13,N/A,N/A
N/A,2294.7,466.37,N/A,N/A
N/A,634.76,467.97,N/A,N/A
N/A,795.48,468.12,N/A,N/A
N/A,2130.2,468.44,N/A,N/A
N/A,3900.6,471.7,N/A,N/A
N/A,3610.3,480.07,N/A,N/A
N/A,3356.2,482.02,N/A,N/A
N/A,2959.6,486.44,N/A,N/A
N/A,2792.1,499.18,N/A,N/A
N/A,3811.9,500.95,N/A,N/A
N/A,3516.2,505.56,N/A,N/A
N/A,968.66,517.78,N/A,N/A
N/A,5048.5,522.93,N/A,N/A
N/A,3049.1,525.09,N/A,N/A
N/A,2006.1,526.33,N/A,N/A
N/A,829.94,530.86,N/A,N/A
N/A,2977.5,531.06,N/A,N/A
N/A,2552.4,560.63,N/A,N/A
N/A,1371.6,564.92,N/A,N/A
N/A,4154.9,564.13,N/A,N/A
N/A,2640.5,569.77,N/A,N/A
N/A,522.83,571.46,N/A,N/A
N/A,833.16,582.03,N/A,N/A
N/A,1883.5,609.56,N/A,N/A
