name,x,y,mag,counts
N/A,4016.5,16.217,N/A,N/A
N/A,2309.4,26.497,N/A,N/A
N/A,4013.9,21.782,N/A,N/A
N/A,2878.4,28.221,N/A,N/A
N/A,1710.0,34.075,N/A,N/A
N/A,3257.0,37.1,N/A,N/A
N/A,81.933,53.809,N/A,N/A
N/A,3456.4,64.356,N/A,N/A
N/A,3377.5,73.544,N/A,N/A
N/A,318.76,74.269,N/A,N/A
N/A,2208.4,79.718,N/A,N/A
N/A,1226.3,107.19,N/A,N/A
N/A,3403.6,157.52,N/A,N/A
N/A,15.09,154.91,N/A,N/A
N/A,4534.9,159.25,N/A,N/A
N/A,3402.0,161.21,N/A,N/A
N/A,3900.2,174.93,N/A,N/A
N/A,3996.0,185.49,N/A,N/A
N/A,4245.8,219.59,N/A,N/A
N/A,2564.7,225.45,N/A,N/A
N/A,2152.5,243.93,N/A,N/A
N/A,3404.6,247.58,N/A,N/A
N/A,2069.8,255.59,N/A,N/A
N/A,3288.0,257.43,N/A,N/A
N/A,3680.3,263.16,N/A,N/A
N/A,3430.3,271.98,N/A,N/A
N/A,169.5,283.05,N/A,N/A
N/A,4257.5,289.59,N/A,N/A
N/A,2161.5,300.0,N/A,N/A
N/A,3478.1,312.08,N/A,N/A
N/A,315.25,348.41,N/A,N/A
N/A,2260.5,355.0,N/A,N/A
N/A,624.22,360.96,N/A,N/A
N/A,4832.1,368.29,N/A,N/A
N/A,4828.9,374.81,N/A,N/A
N/A,3889.2,379.67,N/A,N/A
N/A,3061.8,382.97,N/A,N/A
N/A,4914.7,385.34,N/A,N/A
N/A,3837.3,391.03,N/A,N/A
N/A,5057.2,395.22,N/A,N/A
N/A,1417.9,397.76,N/A,N/A
N/A,3012.6,403.5,N/A,N/A
N/A,1154.0,407.97,N/A,N/A
N/A,2436.6,410.26,N/A,N/A
N/A,3556.0,412.72,N/A,N/A
N/A,625.96,419.79,N/A,N/A
N/A,575.22,421.13,N/A,N/A
N/A,1376.9,442.49,N/A,N/A
N/A,101.71,443.05,N/A,N/A
N/A,5.6122,457.82,N/A,N/A
N/A,993.43,456.82,N/A,N/A
N/A,2846.1,459.98,N/A,N/A
N/A,5004.8,463.23,N/A,N/A
N/A,2946.9,465.23,N/A,N/A
N/A,2294.7,466.66,N/A,N/A
N/A,634.89,468.15,N/A,N/A
N/A,2130.2,468.35,N/A,N/A
N/A,3356.0,481.81,N/A,N/A
N/A,2792.0,499.59,N/A,N/A
N/A,3811.1,502.18,N/A,N/A
N/A,3516.2,505.7,N/A,N/A
N/A,5048.3,522.84,N/A,N/A
N/A,2006.0,526.16,N/A,N/A
N/A,3048.9,525.22,N/A,N/A
N/A,2977.2,530.57,N/A,N/A
N/A,830.04,530.83,N/A,N/A
N/A,2552.2,560.7,N/A,N/A
N/A,1371.6,565.05,N/A,N/A
N/A,523.17,571.01,N/A,N/A
N/A,2640.3,570.04,N/A,N/A
N/A,833.32,582.26,N/A,N/A
N/A,1883.3,609.16,N/A,N/A
N/A,876.41,633.91,N/A,N/A
N/A,3338.0,634.81,N/A,N/A
N/A,1386.7,639.7,N/A,N/A
N/A,2535.1,642.44,N/A,N/A
N/A,2677.7,649.77,N/A,N/A
N/A,440.49,661.06,N/A,N/A
N/A,2047.2,662.22,N/A,N/A
N/A,3736.6,660.96,N/A,N/A
N/A,3887.2,678.67,N/A,N/A
N/A,1830.4,688.18,N/A,N/A
N/A,1236.7,690.95,N/A,N/A
N/A,5021.9,697.12,N/A,N/A
N/A,4351.2,703.88,N/A,N/A
