name,x,y,mag,counts
N/A,4017.8,9.2177,N/A,N/A
N/A,4357.5,8.2954,N/A,N/A
N/A,2310.5,19.493,N/A,N/A
N/A,2879.9,20.873,N/A,N/A
N/A,1711.2,28.361,N/A,N/A
N/A,3257.6,32.947,N/A,N/A
N/A,794.65,42.459,N/A,N/A
N/A,2719.9,39.248,N/A,N/A
N/A,3456.7,58.585,N/A,N/A
N/A,3378.3,67.126,N/A,N/A
N/A,319.85,68.097,N/A,N/A
N/A,2209.9,73.016,N/A,N/A
N/A,2211.2,76.79,N/A,N/A
N/A,1227.3,100.32,N/A,N/A
N/A,4085.1,101.2,N/A,N/A
N/A,4539.8,143.18,N/A,N/A
N/A,1044.9,149.88,N/A,N/A
N/A,3405.1,151.12,N/A,N/A
N/A,1715.7,148.35,N/A,N/A
N/A,4535.8,151.12,N/A,N/A
N/A,1452.5,154.51,N/A,N/A
N/A,3900.9,168.53,N/A,N/A
N/A,3997.2,177.81,N/A,N/A
N/A,4247.5,211.01,N/A,N/A
N/A,4446.5,215.54,N/A,N/A
N/A,2566.2,218.52,N/A,N/A
N/A,2153.4,237.1,N/A,N/A
N/A,3404.0,245.87,N/A,N/A
N/A,3289.3,249.41,N/A,N/A
N/A,3681.8,255.85,N/A,N/A
N/A,3431.5,265.09,N/A,N/A
N/A,171.23,275.96,N/A,N/A
N/A,4259.0,281.57,N/A,N/A
N/A,2162.2,293.14,N/A,N/A
N/A,3479.9,304.73,N/A,N/A
N/A,315.97,341.55,N/A,N/A
N/A,2261.4,348.57,N/A,N/A
N/A,625.89,355.61,N/A,N/A
N/A,4918.3,375.0,N/A,N/A
N/A,3890.5,373.32,N/A,N/A
N/A,3063.2,375.54,N/A,N/A
N/A,4916.2,377.99,N/A,N/A
N/A,3839.0,383.75,N/A,N/A
N/A,5058.1,388.46,N/A,N/A
N/A,1419.1,391.69,N/A,N/A
N/A,3013.8,396.51,N/A,N/A
N/A,1155.4,401.73,N/A,N/A
N/A,2437.7,403.74,N/A,N/A
N/A,3556.8,407.26,N/A,N/A
N/A,626.78,413.15,N/A,N/A
N/A,1377.8,435.62,N/A,N/A
N/A,1825.2,439.43,N/A,N/A
N/A,1174.5,447.08,N/A,N/A
N/A,994.39,450.24,N/A,N/A
N/A,6.6966,451.4,N/A,N/A
N/A,2847.3,452.86,N/A,N/A
N/A,5007.1,454.91,N/A,N/A
N/A,3159.4,454.82,N/A,N/A
N/A,2948.0,458.55,N/A,N/A
N/A,796.39,461.13,N/A,N/A
N/A,635.68,461.43,N/A,N/A
N/A,2295.4,459.82,N/A,N/A
N/A,2131.1,462.16,N/A,N/A
N/A,3357.0,475.55,N/A,N/A
N/A,875.35,486.52,N/A,N/A
N/A,2792.6,493.31,N/A,N/A
N/A,3812.3,496.34,N/A,N/A
N/A,969.1,510.15,N/A,N/A
N/A,5047.9,517.21,N/A,N/A
N/A,3050.1,518.46,N/A,N/A
N/A,2007.1,519.74,N/A,N/A
N/A,830.92,524.19,N/A,N/A
N/A,2978.2,525.35,N/A,N/A
N/A,4986.9,545.2,N/A,N/A
N/A,2553.3,554.1,N/A,N/A
N/A,1372.6,558.43,N/A,N/A
N/A,2641.4,563.25,N/A,N/A
N/A,523.1,564.97,N/A,N/A
N/A,834.12,575.48,N/A,N/A
N/A,877.29,627.2,N/A,N/A
N/A,1387.7,632.75,N/A,N/A
N/A,2536.2,635.8,N/A,N/A
N/A,1607.7,639.76,N/A,N/A
N/A,2679.0,641.5,N/A,N/A
N/A,4331.3,655.31,N/A,N/A
N/A,441.55,654.73,N/A,N/A
N/A,3888.3,672.23,N/A,N/A
N/A,1831.6,682.19,N/A,N/A
N/A,4727.3,683.02,N/A,N/A
N/A,1237.8,684.65,N/A,N/A
N/A,5026.2,686.66,N/A,N/A
N/A,4351.8,700.73,N/A,N/A
N/A,1652.3,718.58,N/A,N/A
N/A,331.64,722.78,N/A,N/A
N/A,2815.6,726.25,N/A,N/A
N/A,2665.9,731.65,N/A,N/A
N/A,4906.3,742.54,N/A,N/A
N/A,1179.2,752.16,N/A,N/A
N/A,3453.0,751.2,N/A,N/A
N/A,988.33,756.32,N/A,N/A
N/A,1775.5,760.34,N/A,N/A
N/A,1295.6,772.92,N/A,N/A
N/A,3909.3,780.18,N/A,N/A
N/A,2224.2,806.75,N/A,N/A
N/A,948.92,813.99,N/A,N/A
N/A,4480.9,827.47,N/A,N/A
N/A,4919.2,829.51,N/A,N/A
N/A,878.34,833.99,N/A,N/A
N/A,3819.2,837.54,N/A,N/A
N/A,4359.5,852.44,N/A,N/A
N/A,4225.1,852.42,N/A,N/A
N/A,2614.2,856.68,N/A,N/A
N/A,837.69,860.04,N/A,N/A
N/A,1640.1,860.62,N/A,N/A
N/A,312.59,863.33,N/A,N/A
N/A,4255.9,867.15,N/A,N/A
N/A,4732.0,874.96,N/A,N/A
N/A,3661.6,875.69,N/A,N/A
N/A,1686.7,888.71,N/A,N/A
N/A,3026.4,888.81,N/A,N/A
N/A,3259.9,889.73,N/A,N/A
N/A,2406.5,893.67,N/A,N/A
N/A,1373.9,895.95,N/A,N/A
N/A,3413.8,900.75,N/A,N/A
N/A,4988.8,905.76,N/A,N/A
N/A,3325.9,912.42,N/A,N/A
N/A,2102.5,913.35,N/A,N/A
N/A,2797.1,918.49,N/A,N/A
N/A,3566.2,929.69,N/A,N/A
N/A,853.71,952.05,N/A,N/A
N/A,4673.8,953.85,N/A,N/A
N/A,586.9,958.5,N/A,N/A
N/A,803.54,961.63,N/A,N/A
N/A,1014.0,962.47,N/A,N/A
N/A,4823.7,971.69,N/A,N/A
N/A,4231.2,975.49,N/A,N/A
N/A,687.9,982.8,N/A,N/A
N/A,2288.6,982.43,N/A,N/A
N/A,3020.7,982.43,N/A,N/A
N/A,369.93,994.97,N/A,N/A
N/A,2527.5,1015.0,N/A,N/A
N/A,5026.7,1016.7,N/A,N/A
N/A,3085.9,1021.9,N/A,N/A
N/A,1108.4,1034.3,N/A,N/A
N/A,3337.5,1040.6,N/A,N/A
N/A,595.95,1044.1,N/A,N/A
N/A,1231.5,1051.9,N/A,N/A
N/A,443.17,1055.8,N/A,N/A
N/A,3156.4,1059.2,N/A,N/A
N/A,1141.5,1060.8,N/A,N/A
N/A,1812.3,1064.4,N/A,N/A
N/A,935.12,1070.1,N/A,N/A
N/A,3315.1,1072.1,N/A,N/A
N/A,4050.5,1082.4,N/A,N/A
N/A,2370.9,1089.2,N/A,N/A
N/A,1004.4,1093.4,N/A,N/A
N/A,215.72,1104.9,N/A,N/A
N/A,1381.6,1110.3,N/A,N/A
N/A,1619.8,1112.3,N/A,N/A
N/A,262.38,1115.2,N/A,N/A
N/A,864.66,1119.3,N/A,N/A
N/A,1921.2,1120.6,N/A,N/A
N/A,2119.4,1121.3,N/A,N/A
N/A,2458.3,1121.8,N/A,N/A
N/A,1341.5,1136.7,N/A,N/A
N/A,3482.1,1144.6,N/A,N/A
N/A,3228.9,1158.8,N/A,N/A
N/A,3618.9,1167.9,N/A,N/A
N/A,539.04,1169.3,N/A,N/A
N/A,4264.7,1171.7,N/A,N/A
N/A,3180.9,1174.1,N/A,N/A
N/A,670.54,1192.1,N/A,N/A
N/A,2220.4,1195.3,N/A,N/A
N/A,280.83,1196.9,N/A,N/A
N/A,13.266,1200.1,N/A,N/A
N/A,1425.3,1201.3,N/A,N/A
N/A,2526.5,1202.6,N/A,N/A
N/A,3549.1,1205.6,N/A,N/A
N/A,2107.1,1209.0,N/A,N/A
N/A,649.68,1210.1,N/A,N/A
N/A,811.35,1210.3,N/A,N/A
N/A,2810.3,1228.7,N/A,N/A
N/A,4720.5,1254.0,N/A,N/A
N/A,3103.7,1261.0,N/A,N/A
N/A,4542.5,1261.2,N/A,N/A
N/A,556.24,1262.5,N/A,N/A
N/A,2319.6,1271.9,N/A,N/A
N/A,4800.0,1285.6,N/A,N/A
N/A,2182.8,1308.1,N/A,N/A
N/A,2638.9,1312.3,N/A,N/A
N/A,4116.9,1314.2,N/A,N/A
N/A,4498.5,1315.9,N/A,N/A
N/A,2865.4,1320.7,N/A,N/A
N/A,2010.6,1326.8,N/A,N/A
N/A,3579.5,1330.4,N/A,N/A
N/A,2920.8,1342.6,N/A,N/A
N/A,4593.5,1357.5,N/A,N/A
N/A,4822.1,1365.2,N/A,N/A
N/A,387.29,1381.6,N/A,N/A
N/A,339.05,1383.2,N/A,N/A
N/A,1275.4,1382.4,N/A,N/A
N/A,1781.6,1382.5,N/A,N/A
N/A,3399.0,1383.4,N/A,N/A
N/A,3692.4,1392.3,N/A,N/A
N/A,290.15,1403.3,N/A,N/A
N/A,3912.7,1410.2,N/A,N/A
N/A,765.53,1415.0,N/A,N/A
N/A,951.95,1416.6,N/A,N/A
N/A,3528.6,1416.9,N/A,N/A
N/A,4930.2,1420.6,N/A,N/A
N/A,2337.6,1433.8,N/A,N/A
N/A,3978.8,1437.8,N/A,N/A
N/A,267.99,1443.9,N/A,N/A
N/A,2440.4,1444.9,N/A,N/A
N/A,321.57,1452.5,N/A,N/A
N/A,5021.9,1455.5,N/A,N/A
N/A,3511.6,1458.7,N/A,N/A
N/A,2130.2,1463.6,N/A,N/A
N/A,4293.4,1479.4,N/A,N/A
N/A,1816.2,1482.0,N/A,N/A
N/A,2203.0,1481.8,N/A,N/A
N/A,2858.7,1481.9,N/A,N/A
N/A,309.9,1488.3,N/A,N/A
N/A,4230.6,1489.6,N/A,N/A
N/A,2406.1,1489.8,N/A,N/A
N/A,2806.3,1490.4,N/A,N/A
N/A,4589.1,1490.0,N/A,N/A
N/A,1172.5,1502.0,N/A,N/A
N/A,1259.2,1503.3,N/A,N/A
N/A,3128.6,1507.6,N/A,N/A
N/A,3504.0,1509.0,N/A,N/A
N/A,294.29,1516.6,N/A,N/A
N/A,4192.7,1527.4,N/A,N/A
N/A,3353.4,1530.2,N/A,N/A
N/A,168.01,1532.0,N/A,N/A
N/A,1416.7,1535.1,N/A,N/A
N/A,2997.0,1540.8,N/A,N/A
N/A,4345.4,1540.9,N/A,N/A
N/A,3613.5,1549.5,N/A,N/A
N/A,3485.0,1552.2,N/A,N/A
N/A,4385.3,1556.8,N/A,N/A
N/A,3153.2,1568.2,N/A,N/A
N/A,729.21,1569.9,N/A,N/A
N/A,1710.0,1570.7,N/A,N/A
N/A,383.96,1577.3,N/A,N/A
N/A,1190.1,1577.2,N/A,N/A
N/A,4426.8,1581.4,N/A,N/A
N/A,1204.7,1586.3,N/A,N/A
N/A,397.33,1588.0,N/A,N/A
N/A,2949.9,1595.8,N/A,N/A
N/A,4846.6,1594.6,N/A,N/A
N/A,3988.7,1602.9,N/A,N/A
N/A,586.12,1608.1,N/A,N/A
N/A,667.28,1607.1,N/A,N/A
N/A,4142.3,1612.2,N/A,N/A
N/A,3311.7,1632.4,N/A,N/A
N/A,3287.2,1637.1,N/A,N/A
N/A,3271.6,1640.2,N/A,N/A
N/A,88.49,1653.1,N/A,N/A
N/A,2790.1,1653.4,N/A,N/A
N/A,100.07,1659.8,N/A,N/A
