star,a,b,sigma_x2,sigma_y2,x,y
N/A,712844.5279054787,-712348.2728589334,56227186.19833321,1097859.1825363785,1247.4,4150.9
N/A,795269.1091784652,-794772.204722576,103635353.93011491,926480.1818868209,1310.6,4151.3
N/A,49297.54446423135,-48800.787509087204,7518600.459258363,59382.31627391303,1403.1,4151.4
N/A,366619.97108119726,-366123.04661732056,75896640.54370557,443991.27796287055,1383.9,4151.3
GSC06326-01448,354.45444763507174,526.130489967402,23.57004081219407,40.73668285659616,3765.1,1351.6
GSC06326-01419,183.30453630010234,552.9241029246941,26.445696377129345,87.58797993418767,4309.8,480.85
N/A,209.90698251602075,526.8416088095152,33.165167334748034,73.24885751278241,4314.9,472.28
GSC06892-00163,345.12058973975894,520.0507271708693,21.176528541755975,23.588040289967676,3951.6,3161.6
GSC06892-00449,342.2450071474561,518.8834752324977,16.276779222530287,20.46737103448161,1943.6,3804.1
N/A,240.4619207762163,513.2864234829498,22.668659102522902,22.451293788816805,63.238,3486.7
N/A,253.4025624135579,521.1538408907534,21.299935045157735,20.555920120606608,4562.3,3627.6
GSC06326-01330,136.89454528498416,528.4964779652822,16.56879674477303,75.65005490782768,1786.3,34.42
GSC06892-00074,220.84613749313948,516.2196435652071,21.19911783024289,23.473540764297177,4211.8,2927.9
GSC06326-01157,96.66986480714851,528.3667921170711,23.796457300339295,105.12376355657733,3942.6,288.83
N/A,104.96833230680136,521.5191291868135,28.362776708930532,66.459520137302,3946.7,281.26
GSC06892-00572,234.98777431847753,516.1440048862307,13.730347442785341,17.590354595278807,2151.5,3533.9
N/A,180.77486201312294,515.999121212967,14.784896638843097,23.119760855628765,2180.6,1862.0
GSC06892-00248,154.77804640194682,516.8828488465524,18.13972941613593,25.395265495256233,3525.5,1973.8
N/A,97.03870416314092,521.5836278508473,17.580594794027977,19.476220143500854,1300.9,1767.2
GSC06892-00098,140.80054321713044,510.0589086503134,17.745992252580113,22.65558324183538,671.96,1953.3
N/A,200.20554805166876,509.70924989573547,252.3363768343119,25.52261298156863,1290.3,1771.5
GSC06326-01309,80.58512996286703,508.6273247291377,20.88269129199911,51.031813105362616,552.98,321.74
GSC06326-01515,83.07070937168085,508.18551592231603,19.921116243981988,49.598120386382995,882.93,460.84
GSC06892-00469,144.0952364525838,508.4392439776049,14.877054402997965,19.186998769566088,2366.9,3319.9
GSC06326-01501,100.80876492088997,512.0285087589642,15.661786887479941,27.50407303958146,2836.5,1574.1
GSC06326-01428,60.599183196527854,509.60804193760316,17.41115489401542,60.10947612208716,1289.6,30.525
GSC06892-00310,109.96037095106696,507.84577089130187,14.337041826404864,19.586162682009213,1856.7,2314.6
GSC06892-00545,108.37164457497518,504.78033120978796,15.286137202228602,19.774163008926955,2226.7,3399.5
GSC06892-00009,103.48967917370824,508.2197215841318,14.021794215036353,20.006568114027274,1642.6,2095.6
GSC06326-00978,39.98682990779626,514.6808631750788,25.389388903690815,88.27672945661963,4180.5,547.95
GSC06892-00123,102.79577454337199,508.19199028232185,14.24850938921737,19.848263405197635,1726.7,2259.9
N/A,83.92607749423759,499.24145392643896,21.575440414987778,22.553452965890017,388.34,3233.3
N/A,43.33728210144403,511.60262803935683,29.49715769931375,62.43199477494166,4184.7,540.78
N/A,71.07947461594857,506.3925325774801,26.28050810227402,23.659703755777723,4830.0,3949.7
