star,a,b,sigma_x2,sigma_y2,x,y
GSC06325-01883,103731.53547308968,4848.8719595561315,2.1250352034716875,2.814511222561643,620.14,877.52
GSC06325-00140,8758.808216052343,4367.607146712339,3.4253013773832395,4.28903481863662,266.83,85.451
GSC06325-00341,7215.272634793534,4409.310841645152,4.862932715239958,4.535735807561311,1254.1,197.84
GSC06325-00086,7470.118359366839,4373.551909942884,3.398822486408796,4.447784892137623,550.06,16.419
GSC06325-00656,5982.065010085767,4357.339132929435,3.3578696471618317,4.531851758247583,609.16,19.119
GSC06325-01822,5983.114386850109,4365.02700698386,3.6181207864048606,3.3326944409377632,1149.7,703.61
GSC06325-00401,3197.460399206849,4377.310123812583,4.415622826949844,4.480649471228362,1109.3,91.648
GSC06325-00737,3846.531195828027,4328.98705694594,3.03119453691524,3.844405272572756,318.87,218.2
GSC06325-00275,3321.7956334912787,4368.074532369148,3.4319511316137774,4.182390730604014,848.67,90.183
N/A,3116.4473681724494,4302.60498935664,2.2591653200952226,3.0435927779092173,347.75,920.89
N/A,1751.4142026547565,4380.733799746616,5.298019862955336,5.209578506625348,1201.6,23.556
GSC06325-01723,2643.0369706427855,4315.426992592194,2.0628299628401696,2.805713756791186,551.26,856.26
GSC06325-01922,2354.098228841784,4300.750128818967,2.271394237811391,3.0180684601071324,332.1,657.8
N/A,1358.1629051573402,4494.272349540202,5.5257071344796005,5.029383790883873,1257.9,11.922
GSC06325-02033,1513.6162794928327,4344.7089783820575,3.871609812797181,4.817245900177805,1160.0,618.6
GSC06325-00167,1516.4160996590379,4339.856979534168,3.4258217965863724,4.456771138027045,252.81,25.829
GSC06325-00599,1411.4131321428479,4331.31929317889,2.791777440720426,3.692637262161855,501.51,231.3
N/A,1436.2767167126124,4336.31733526173,3.1038169416592036,3.079173157841976,1068.8,644.16
N/A,1241.7832476701326,4326.173833009092,3.8335761611227137,4.022668960915226,1218.9,880.69
GSC06325-02081,1202.1908161315246,4295.613377714432,2.95066358915146,3.3084685986227194,113.94,631.84
GSC06325-01779,1388.152126498019,4315.467553930757,2.0345704247379235,3.0169967426577124,591.68,805.88
N/A,1087.9419413072824,4351.189162685886,3.1735309408899957,3.546159466704537,842.44,207.95
N/A,1031.2155977734053,4338.085511910208,3.1478082571510813,3.9730514873315697,610.55,132.99
N/A,1031.6532588228297,4343.28614592451,3.260968702261105,3.3897226703227212,1130.1,761.39
N/A,1131.3362986579948,4278.586869580074,2.7050020099944048,3.3867012574319793,162.77,963.92
N/A,1179.0789106187217,4271.551658784215,2.9795652598696876,2.8628097710177123,95.665,929.11
N/A,850.9565962394263,4343.2571137853165,3.159224455560677,4.389489719501539,796.07,85.47
N/A,1026.7193244430314,4325.34891485442,2.7997232674702843,3.171760801021982,1068.2,808.02
N/A,642.7184272613295,4355.983509771146,4.352913071386369,4.241212626427258,1108.8,143.97
N/A,776.7380135307733,4259.821651510719,2.7847693715037196,3.263553167303691,176.13,665.68
N/A,895.681776561481,4297.41635782419,2.1668037887980858,2.9126082258821477,330.99,726.11
N/A,593.5440316552972,4359.694626670384,3.9900090088809406,4.122464006849296,1164.0,378.95
N/A,804.6828131294659,4269.511877659977,2.532839956815516,2.8457561224660415,64.675,682.1
N/A,854.1880514565115,4313.755952902221,2.1301600181365794,2.5476848118851567,567.54,754.65
N/A,423.2219303118466,4314.589581642736,4.745120879395644,4.131647710009171,1240.3,952.7
N/A,651.8433208051946,4290.546377762033,2.0940282258575973,3.244720178416231,296.64,929.85
N/A,311.7877274683707,4346.486274605569,4.601782288958743,11.11101117424157,917.44,118.68
N/A,498.05749536132834,4315.330120048584,3.3355097598081724,3.468215572484595,480.47,329.2
N/A,413.55566982408516,4370.923861630759,4.378304566752003,3.9999950849000863,1177.8,81.277
N/A,564.5311334414229,4336.534815571262,2.6065346843207764,3.085509274849509,381.02,402.37
N/A,548.2312668079998,4276.963780169789,2.37363816057674,3.1874198802919858,224.86,810.37
N/A,505.66696382924584,4335.847670757071,2.425899695873073,3.6684639140246933,636.74,360.98
N/A,650.2437986294044,4301.879818229745,1.6070394193145845,2.597016887866688,642.53,942.16
N/A,377.19240565878385,4304.754598834726,3.0720059713483687,2.882698135755619,966.86,916.77
N/A,514.4664114105735,4336.560990775492,1.5145472471867387,3.260626083585592,566.26,568.26
N/A,361.9275575005212,4316.049700748158,3.3876576177137037,4.8333641384913495,373.14,39.949
N/A,344.4074392020245,4359.7581314434365,3.960157830670132,4.193375530728479,1194.0,179.66
N/A,312.0892146436351,4328.864557321851,2.9936231217380977,3.4715238623931755,582.29,297.44
N/A,340.38608713514463,4332.853614357516,2.4990318157751603,2.8875119039868724,739.63,312.99
N/A,341.1420038154904,4279.3010361756,2.851336687430036,3.8935513349807787,39.299,906.98
N/A,296.55536181398685,4313.6759792385865,1.5199882035796386,2.151190213085311,625.7,751.78
