star,A,B,sigma_x2,sigma_y2,x,y
GSC06325-01883,66762.35078381619,4514.163629086893,3.861569386342028,4.29049280775164,620.14,877.52
GSC06325-02056,61575.003534561794,4536.882882827001,3.812062168741973,4.501789230927826,713.88,552.25
GSC06325-01783,11844.250898751041,4399.270101856629,5.677832922706762,4.996773707089043,1216.5,818.38
GSC06325-00008,7154.086258270735,4370.592272021088,4.761981844599009,4.8933645241768975,973.13,375.27
GSC06325-00140,6855.267970046793,4328.288434981027,4.76905062962668,5.678353588356628,266.83,85.451
GSC06325-00341,5439.525610614816,4392.219843005495,7.129421028431936,5.728612248886014,1254.1,197.84
GSC06325-01694,7348.311313317973,4335.599107792044,3.6799736883056755,4.389397169873067,633.83,1003.4
GSC06325-00086,5779.048911500073,4347.889021695454,4.907631354034035,5.681243579493787,550.06,16.419
GSC06325-00656,4663.647938910411,4335.808432429246,4.719318260929789,5.867151819097232,609.16,19.119
GSC06325-00059,4896.4069679649565,4361.671586952312,4.569441158139104,4.784740524079763,918.92,393.06
GSC06325-01822,4142.174193692008,4348.750677120768,5.616877787290496,4.8472468415078955,1149.7,703.61
GSC06325-00786,3957.9748669195715,4335.272067432293,4.533424091678519,5.34536242665111,396.99,135.5
GSC06325-01848,4016.8976676267084,4355.896541886186,4.429303419406631,4.701380779657063,1015.7,663.31
GSC06325-00551,3445.2022868713357,4307.866026767293,5.317877861819877,6.0247085221794086,58.921,52.516
GSC06325-00365,3206.6651551687246,4403.015307877606,5.860524547012594,5.087105840541518,972.03,306.71
GSC06325-01731,3484.4383285224967,4286.578563193834,3.873762570061965,4.306579081156201,227.91,870.87
GSC06325-02092,3182.894956330468,4296.113698197749,4.308238665697765,4.6919973239824175,67.572,514.68
GSC06325-00089,3257.05954367739,4325.152856452781,4.064840531911081,4.7497303937998305,406.74,344.31
GSC06325-00401,2491.2070430686435,4362.7973611881325,6.168934113518837,5.768383937732683,1109.3,91.648
GSC06325-00737,2911.0706496729836,4313.812015718399,4.376086700447136,5.227278405686376,318.87,218.2
GSC06325-01934,3159.4143063698684,4336.281129353524,3.8518763627509145,4.355196001433603,738.98,678.33
GSC06325-00275,2507.5954516671086,4354.698093717143,4.982273932717182,5.637678444183708,848.67,90.183
GSC06325-00293,2834.9167001263354,4322.195875947078,4.208606437943812,4.754041097665701,418.56,308.33
GSC06325-01968,2699.758761370149,4291.660063563023,3.8786272397680976,4.461227485170706,382.23,993.95
GSC06325-00329,2213.641812820088,4288.405295276937,4.507359715253286,5.008317787608689,80.592,325.62
GSC06325-00053,1940.1036890638588,4358.07103832773,5.759203499721351,5.468743704861223,1080.7,227.8
N/A,2082.3646658714733,4291.337685710224,3.7682993535278904,4.714334824636282,347.75,920.89
N/A,2108.8785393260982,4288.497815782469,3.779098322852856,4.386573271826047,284.19,983.35
GSC06325-00611,1868.2414782115693,4299.217106350085,4.378481494769662,4.75059906317851,188.19,366.67
N/A,1410.518952309052,4377.130849820381,7.493554498376287,5.93824377876231,1201.6,23.556
GSC06325-00473,1708.7148190431055,4329.726023102392,4.486166593933133,4.713982192884419,447.33,244.71
GSC06325-00287,1632.995533416729,4345.340932012767,4.855264122366937,5.065056989869137,982.9,329.75
GSC06325-02093,1651.0054548529765,4345.648965890321,3.9384745579096943,4.775308417611754,782.64,531.24
GSC06325-00755,1385.5823918115075,4340.955834304051,4.749829498569022,5.485051599854969,699.36,83.536
GSC06325-01723,1725.6790339038162,4307.976590727852,3.4313249044515586,4.3954934648388,551.26,856.26
GSC06325-01922,1574.6816403670541,4295.768055200331,3.7730991165447603,4.491166974794009,332.1,657.8
N/A,1274.3229481645697,4337.242838592077,5.652767074629882,5.2082935191881665,1096.4,496.56
N/A,1102.742598756612,4491.470747351375,6.810512349559403,6.308321509775586,1257.9,11.922
GSC06325-00680,1434.9978359794034,4312.155447520797,4.143008686752667,4.863466832949623,347.77,278.35
GSC06325-02033,1126.6798619503884,4336.752013867752,5.482089196057522,6.78055466302987,1160.0,618.6
GSC06325-00167,1229.7628866984903,4329.419311497524,4.726194930599363,5.608485742923688,252.81,25.829
N/A,1386.6563066755039,4311.495784954246,3.9634358666403036,4.447788427337878,886.22,883.37
GSC06325-02055,1263.725616935707,4283.899926582503,4.304967315214286,4.204924382005923,8.78,680.86
GSC06325-02061,1396.6733479253285,4360.786583667335,3.791861609144103,4.407520745909553,680.38,570.89
N/A,1072.5359589102814,4343.7057305653,4.705842198580421,5.155606277639151,1137.1,525.29
GSC06325-02060,1137.790394366178,4288.150824770982,4.243095102943347,4.395945637869453,234.4,550.48
GSC06325-00599,1030.6073140894123,4329.455840265394,4.294882098263492,4.895483450808743,501.51,231.3
N/A,1015.4806437726608,4327.86724957858,4.664183982503411,4.738187500891298,1068.8,644.16
N/A,955.7391394352421,4324.13520947155,5.191155583704402,5.081253081334174,1218.9,880.69
GSC06325-00740,1033.9522436163609,4312.783623712396,4.3017456444936,4.60613441304473,295.38,323.04
