name,x,y,mag,counts
GSC06325-01883,620.14,877.52,10.91,1621000.0
GSC06325-02056,713.88,552.25,11.11,1521000.0
GSC06325-01756,758.8,842.05,11.02,917800.0
GSC06325-01888,349.55,800.02,12.53,611900.0
GSC06325-01783,1216.5,818.38,12.21,360700.0
GSC06325-00662,18.3,376.03,12.37,280000.0
GSC06325-01769,1002.3,765.52,13.18,207800.0
GSC06325-00008,973.13,375.27,12.94,200500.0
GSC06325-00140,266.83,85.451,12.67,199600.0
GSC06325-00347,680.56,159.81,12.88,189300.0
GSC06325-00341,1254.1,197.84,13.19,187600.0
GSC06325-01978,1033.1,565.54,12.51,183600.0
GSC06325-01694,633.83,1003.4,13.34,176600.0
GSC06325-00086,550.06,16.419,12.9,171900.0
GSC06325-00656,609.16,19.119,13.46,138300.0
GSC06325-00059,918.92,393.06,13.6,133400.0
GSC06325-01822,1149.7,703.61,13.39,120400.0
GSC06325-00786,396.99,135.5,13.45,111100.0
GSC06325-01848,1015.7,663.31,14.08,106800.0
GSC06325-00551,58.921,52.516,13.21,105100.0
GSC06325-00365,972.03,306.71,12.84,99340.0
GSC06325-01619,892.7,983.22,14.1,93120.0
GSC06325-01731,227.91,870.87,13.61,84920.0
GSC06325-02092,67.572,514.68,13.92,83580.0
GSC06325-00089,406.74,344.31,13.93,82960.0
GSC06325-01807,372.03,799.68,14.3,81700.0
GSC06325-00401,1109.3,91.648,14.02,79800.0
GSC06325-00737,318.87,218.2,14.03,79550.0
GSC06325-01934,738.98,678.33,14.14,75480.0
GSC06325-00275,848.67,90.183,14.49,75300.0
GSC06325-00293,418.56,308.33,13.84,73660.0
N/A,831.45,443.9,N/A,68970.0
GSC06325-00257,234.26,374.83,14.22,67310.0
GSC06325-01968,382.23,993.95,13.96,64920.0
GSC06325-02046,626.77,532.33,14.42,60510.0
GSC06325-00329,80.592,325.62,14.08,60330.0
GSC06325-00053,1080.7,227.8,14.19,59360.0
N/A,347.75,920.89,N/A,50750.0
N/A,284.19,983.35,N/A,50320.0
GSC06325-00611,188.19,366.67,14.58,48810.0
N/A,1201.6,23.556,N/A,48690.0
GSC06325-00473,447.33,244.71,14.89,45910.0
GSC06325-00287,982.9,329.75,14.43,44970.0
N/A,898.12,485.46,N/A,43040.0
GSC06325-01872,442.73,831.25,13.94,42950.0
N/A,1022.2,740.56,N/A,42030.0
N/A,1058.7,159.49,N/A,41990.0
GSC06325-02093,782.64,531.24,14.89,41580.0
GSC06325-01900,446.16,825.38,14.2,41470.0
N/A,712.57,1033.5,N/A,40990.0
N/A,1224.6,1023.7,N/A,40070.0
N/A,846.83,442.05,N/A,39740.0
GSC06325-00755,699.36,83.536,14.64,39400.0
GSC06325-01723,551.26,856.26,14.99,38680.0
GSC06325-01922,332.1,657.8,15.12,38450.0
N/A,1096.4,496.56,N/A,38280.0
N/A,1257.9,11.922,N/A,38050.0
GSC06325-00743,240.71,343.52,14.79,37610.0
GSC06325-00680,347.77,278.35,14.87,37560.0
GSC06325-02033,1160.0,618.6,14.1,36140.0
GSC06325-00167,252.81,25.829,14.39,35350.0
N/A,886.22,883.37,N/A,33900.0
GSC06325-02055,8.78,680.86,15.06,33680.0
GSC06325-02061,680.38,570.89,14.34,33060.0
GSC06325-01750,373.58,847.74,15.41,32630.0
N/A,1137.1,525.29,N/A,29080.0
GSC06325-01824,180.42,861.95,15.29,28920.0
GSC06325-02060,234.4,550.48,15.29,27980.0
GSC06325-00599,501.51,231.3,15.29,27590.0
N/A,1068.8,644.16,N/A,27400.0
N/A,1218.9,880.69,N/A,26910.0
GSC06325-01910,660.16,673.13,15.41,26770.0
GSC06325-00740,295.38,323.04,15.14,26730.0
GSC06325-01790,172.14,824.04,15.48,26660.0
GSC06325-02037,312.42,1017.5,14.82,25720.0
GSC06325-02005,534.71,650.74,15.37,25070.0
GSC06325-00395,28.942,321.63,14.74,25020.0
GSC06325-02097,146.57,510.95,15.05,24300.0
GSC06325-01846,234.98,719.79,15.21,24000.0
GSC06325-01940,688.29,642.28,15.47,23970.0
GSC06325-02081,113.94,631.84,15.05,23500.0
GSC06325-00461,318.89,82.131,15.4,23430.0
N/A,258.98,343.67,N/A,22820.0
N/A,636.87,555.8,N/A,22790.0
GSC06325-01779,591.68,805.88,15.18,22000.0
N/A,1216.9,476.68,N/A,21850.0
N/A,833.21,626.83,N/A,21820.0
N/A,842.44,207.95,N/A,21560.0
N/A,610.55,132.99,N/A,21460.0
N/A,855.16,385.97,N/A,21180.0
N/A,1130.1,761.39,N/A,20470.0
N/A,162.77,963.92,N/A,20470.0
N/A,616.23,526.75,N/A,20270.0
N/A,95.665,929.11,N/A,20260.0
N/A,1034.5,435.71,N/A,20160.0
N/A,796.07,85.47,N/A,19690.0
N/A,941.94,288.49,N/A,19220.0
N/A,1205.0,786.32,N/A,19070.0
GSC06325-00128,647.27,67.05,14.89,18810.0
N/A,39.905,247.49,N/A,18760.0
N/A,1068.2,808.02,N/A,18650.0
GSC06325-00728,158.75,315.65,15.31,18290.0
N/A,995.72,540.61,N/A,17800.0
N/A,121.67,331.74,N/A,17790.0
N/A,1026.3,560.59,N/A,17700.0
GSC06325-01912,248.76,739.67,15.47,17570.0
N/A,410.3,1007.3,N/A,17490.0
N/A,861.66,380.13,N/A,17150.0
N/A,1069.2,750.75,N/A,17080.0
N/A,255.9,385.87,N/A,16980.0
GSC06325-01887,174.04,804.6,15.31,16940.0
N/A,438.99,423.22,N/A,16920.0
N/A,1010.6,746.0,N/A,16190.0
N/A,478.8,808.77,N/A,16140.0
N/A,95.16,72.032,N/A,15800.0
N/A,846.23,889.84,N/A,15780.0
N/A,1108.8,143.97,N/A,15530.0
N/A,110.38,27.321,N/A,15320.0
N/A,176.13,665.68,N/A,15260.0
N/A,985.41,657.77,N/A,14840.0
N/A,330.99,726.11,N/A,14200.0
N/A,10.654,90.404,N/A,14110.0
N/A,668.25,653.78,N/A,13880.0
N/A,976.78,605.05,N/A,13870.0
N/A,462.46,774.04,N/A,13820.0
N/A,1008.8,149.56,N/A,13720.0
N/A,10.988,777.4,N/A,13540.0
N/A,74.504,484.79,N/A,13370.0
N/A,793.92,672.87,N/A,13360.0
N/A,1164.0,378.95,N/A,13340.0
N/A,388.99,1026.7,N/A,13310.0
N/A,64.675,682.1,N/A,13220.0
N/A,919.97,566.85,N/A,13100.0
GSC06325-00020,24.692,398.21,15.31,13050.0
N/A,469.66,981.1,N/A,12800.0
N/A,41.065,256.99,N/A,12790.0
N/A,823.3,886.91,N/A,12560.0
N/A,1033.8,1017.0,N/A,12410.0
N/A,968.63,595.99,N/A,12280.0
N/A,567.54,754.65,N/A,12020.0
N/A,382.16,521.79,N/A,11900.0
N/A,173.64,760.19,N/A,11670.0
N/A,581.36,487.59,N/A,11360.0
N/A,610.56,984.68,N/A,11280.0
N/A,1240.3,952.7,N/A,11090.0
GSC06325-01705,736.39,845.59,15.5,11070.0
N/A,747.07,223.67,N/A,10980.0
N/A,301.76,1018.5,N/A,10930.0
N/A,296.64,929.85,N/A,10870.0
N/A,274.65,619.89,N/A,10790.0
N/A,863.09,632.58,N/A,10780.0
N/A,244.37,257.28,N/A,10710.0
N/A,732.08,596.34,N/A,10500.0
N/A,339.3,133.54,N/A,10430.0
N/A,1008.6,1027.7,N/A,10400.0
N/A,917.44,118.68,N/A,10190.0
N/A,480.47,329.2,N/A,10180.0
N/A,681.76,136.68,N/A,10080.0
N/A,590.36,999.35,N/A,10070.0
N/A,1188.0,494.34,N/A,9797.0
N/A,312.68,274.12,N/A,9742.0
N/A,819.08,901.35,N/A,9716.0
N/A,287.1,623.42,N/A,9488.0
N/A,904.49,476.27,N/A,9442.0
N/A,1177.8,81.277,N/A,9404.0
N/A,1052.2,405.09,N/A,9344.0
N/A,1046.0,728.1,N/A,9278.0
N/A,381.02,402.37,N/A,9156.0
N/A,1058.0,194.98,N/A,9138.0
N/A,93.008,281.09,N/A,9107.0
N/A,428.86,174.76,N/A,9018.0
N/A,170.31,1031.7,N/A,8991.0
N/A,451.74,988.59,N/A,8785.0
N/A,515.19,908.24,N/A,8694.0
N/A,224.86,810.37,N/A,8668.0
N/A,473.12,924.91,N/A,8652.0
N/A,636.74,360.98,N/A,8609.0
N/A,872.23,985.12,N/A,8376.0
N/A,642.53,942.16,N/A,8188.0
N/A,1042.2,169.2,N/A,8069.0
N/A,71.463,209.02,N/A,8053.0
N/A,932.5,580.32,N/A,8050.0
N/A,1011.6,987.51,N/A,7919.0
N/A,678.73,753.15,N/A,7881.0
N/A,407.8,804.45,N/A,7875.0
N/A,796.73,744.78,N/A,7758.0
N/A,587.28,493.29,N/A,7734.0
N/A,279.34,546.13,N/A,7703.0
N/A,758.14,209.04,N/A,7608.0
N/A,871.99,457.91,N/A,7589.0
N/A,494.21,762.05,N/A,7546.0
N/A,445.93,378.49,N/A,7480.0
N/A,966.86,916.77,N/A,7385.0
N/A,716.75,122.06,N/A,7377.0
N/A,17.383,462.28,N/A,7285.0
N/A,566.26,568.26,N/A,7234.0
N/A,231.43,275.03,N/A,7210.0
N/A,373.14,39.949,N/A,7097.0
N/A,925.89,420.84,N/A,7088.0
N/A,129.51,745.84,N/A,6872.0
N/A,33.544,446.95,N/A,6762.0
N/A,107.5,345.21,N/A,6732.0
N/A,349.9,842.05,N/A,6661.0
N/A,1194.0,179.66,N/A,6514.0
N/A,205.03,723.42,N/A,6490.0
N/A,859.53,466.24,N/A,6274.0
N/A,1148.9,1019.0,N/A,6271.0
N/A,582.29,297.44,N/A,6140.0
N/A,739.63,312.99,N/A,6080.0
N/A,802.63,493.34,N/A,6060.0
N/A,453.88,950.51,N/A,6023.0
N/A,354.18,112.78,N/A,5608.0
N/A,683.54,747.16,N/A,5513.0
N/A,39.299,906.98,N/A,5368.0
N/A,403.54,522.17,N/A,5346.0
N/A,492.94,638.16,N/A,5312.0
N/A,621.12,68.125,N/A,5237.0
N/A,659.33,1025.0,N/A,5186.0
N/A,788.51,618.8,N/A,5118.0
N/A,57.132,423.21,N/A,5058.0
N/A,875.0,503.06,N/A,5040.0
N/A,451.68,387.03,N/A,4953.0
N/A,884.9,445.8,N/A,4898.0
N/A,197.75,871.3,N/A,4814.0
N/A,423.05,457.63,N/A,4783.0
N/A,112.11,477.76,N/A,4652.0
N/A,412.47,267.19,N/A,4620.0
N/A,468.91,913.15,N/A,4536.0
N/A,78.84,173.91,N/A,4460.0
N/A,625.7,751.78,N/A,4363.0
N/A,391.58,566.9,N/A,4243.0
N/A,405.63,188.63,N/A,4180.0
N/A,795.39,752.01,N/A,4159.0
N/A,648.04,694.81,N/A,3902.0
N/A,914.98,881.5,N/A,3825.0
N/A,774.91,659.72,N/A,3812.0
N/A,147.09,298.76,N/A,3806.0
