name,x,y,mag,counts
GSC06325-01883,779.53,1009.5,10.91,1497000.0
GSC06325-02056,873.2,684.34,11.11,1420000.0
GSC06325-00749,1193.9,86.072,11.25,1279000.0
GSC06325-01756,918.04,973.94,11.02,838500.0
GSC06325-01888,509.19,932.28,12.53,564500.0
GSC06325-00770,23.095,476.73,12.04,513200.0
GSC06325-00659,141.01,188.58,12.0,348900.0
GSC06325-01715,102.88,1034.9,12.33,263500.0
GSC06325-00662,177.99,508.54,12.37,256700.0
GSC06325-00560,801.45,50.001,13.01,224500.0
GSC06325-00179,221.75,96.527,12.5,206600.0
GSC06325-01769,1161.4,897.22,13.18,188700.0
GSC06325-00140,426.25,218.06,12.67,187600.0
GSC06325-00008,1132.1,507.21,12.94,186400.0
GSC06325-00347,839.89,292.18,12.88,179600.0
GSC06325-01978,1192.1,697.38,12.51,167900.0
GSC06325-00086,709.39,148.8,12.9,158400.0
GSC06325-00656,768.35,151.48,13.46,126700.0
GSC06325-00059,1077.8,525.09,13.6,125700.0
GSC06325-00425,15.445,9.9187,13.37,108800.0
GSC06325-00551,218.38,185.15,13.21,106700.0
GSC06325-00786,556.43,268.05,13.45,103900.0
GSC06325-01848,1174.5,795.13,14.08,96770.0
GSC06325-00104,598.92,87.441,13.65,96760.0
GSC06325-00365,1131.1,438.84,12.84,94900.0
GSC06325-01731,387.69,1003.2,13.61,79310.0
GSC06325-01807,531.69,931.93,14.3,78320.0
GSC06325-00089,566.23,476.71,13.93,77890.0
GSC06325-02092,227.33,647.19,13.92,75090.0
GSC06325-00737,478.31,350.76,14.03,73940.0
GSC06325-01934,898.24,810.26,14.14,70840.0
GSC06325-00293,577.95,440.69,13.84,69210.0
GSC06325-00326,153.08,197.5,14.08,68470.0
GSC06325-00275,1007.7,222.63,14.49,67790.0
GSC06325-00236,91.342,406.97,13.56,65880.0
N/A,990.63,575.92,N/A,63310.0
GSC06325-00257,393.81,507.29,14.22,62750.0
GSC06325-00329,240.16,458.1,14.08,56560.0
GSC06325-02046,786.23,664.59,14.42,55260.0
GSC06325-00053,1239.6,359.89,14.19,54330.0
N/A,921.52,95.768,N/A,52500.0
GSC06325-00611,347.89,499.15,14.58,47820.0
GSC06325-00248,94.855,427.44,14.84,45030.0
GSC06325-00068,122.01,638.27,14.67,43030.0
GSC06325-00473,606.75,377.14,14.89,42160.0
GSC06325-02077,96.806,665.53,13.89,40890.0
GSC06325-00392,122.86,221.62,14.31,40330.0
N/A,1057.4,617.59,N/A,40220.0
GSC06325-00287,1141.8,461.53,14.43,40070.0
GSC06325-01872,602.22,963.49,13.94,39630.0
GSC06325-02093,941.88,663.37,14.89,39190.0
GSC06325-00794,150.34,562.05,14.54,39160.0
GSC06325-01849,80.535,887.42,14.46,39100.0
N/A,1217.8,291.44,N/A,39080.0
N/A,1181.3,872.15,N/A,38960.0
N/A,1006.0,574.09,N/A,38930.0
GSC06325-01900,605.87,957.45,14.2,38520.0
GSC06325-00134,138.2,401.12,14.97,37970.0
GSC06325-01723,710.82,988.24,14.99,37850.0
GSC06325-00755,858.58,215.78,14.64,35750.0
GSC06325-01922,491.74,790.1,15.12,35670.0
N/A,1255.3,628.75,N/A,34160.0
