name,x,y,mag,counts
N/A,4357.4,8.6889,N/A,N/A
N/A,2080.4,9.251,N/A,N/A
N/A,4015.8,13.358,N/A,N/A
N/A,2877.4,25.352,N/A,N/A
N/A,2308.1,24.594,N/A,N/A
N/A,4900.8,28.727,N/A,N/A
N/A,3255.9,34.73,N/A,N/A
N/A,1708.8,32.856,N/A,N/A
N/A,4582.2,35.525,N/A,N/A
N/A,2717.9,40.908,N/A,N/A
N/A,3932.8,45.003,N/A,N/A
N/A,792.74,47.517,N/A,N/A
N/A,2717.9,44.154,N/A,N/A
N/A,79.267,50.679,N/A,N/A
N/A,3455.3,63.065,N/A,N/A
N/A,3376.1,72.268,N/A,N/A
N/A,317.21,73.373,N/A,N/A
N/A,2207.7,78.421,N/A,N/A
N/A,4402.5,100.57,N/A,N/A
N/A,1224.6,105.49,N/A,N/A
N/A,4081.3,109.3,N/A,N/A
N/A,1043.5,155.64,N/A,N/A
N/A,1449.5,159.27,N/A,N/A
N/A,3401.5,157.44,N/A,N/A
N/A,4532.1,158.51,N/A,N/A
N/A,3898.6,173.47,N/A,N/A
N/A,3162.9,171.84,N/A,N/A
N/A,3994.9,182.35,N/A,N/A
N/A,2730.8,202.79,N/A,N/A
N/A,4245.0,215.57,N/A,N/A
N/A,2563.4,223.77,N/A,N/A
N/A,4442.1,227.01,N/A,N/A
N/A,2151.1,242.2,N/A,N/A
N/A,3403.3,246.93,N/A,N/A
N/A,3287.2,253.24,N/A,N/A
N/A,2067.7,253.43,N/A,N/A
N/A,3679.3,260.58,N/A,N/A
N/A,3429.2,269.41,N/A,N/A
N/A,3541.5,275.67,N/A,N/A
N/A,168.14,281.89,N/A,N/A
N/A,212.06,285.61,N/A,N/A
N/A,4256.7,286.23,N/A,N/A
N/A,2159.7,297.28,N/A,N/A
N/A,3102.5,299.02,N/A,N/A
N/A,4653.1,299.82,N/A,N/A
N/A,958.42,306.71,N/A,N/A
N/A,1699.3,310.18,N/A,N/A
N/A,3477.2,309.55,N/A,N/A
N/A,4854.8,319.97,N/A,N/A
N/A,1081.6,332.06,N/A,N/A
N/A,3570.9,337.42,N/A,N/A
N/A,4173.8,343.64,N/A,N/A
N/A,313.43,346.92,N/A,N/A
N/A,2259.1,353.62,N/A,N/A
N/A,622.64,359.85,N/A,N/A
N/A,4831.9,364.51,N/A,N/A
N/A,4916.3,377.96,N/A,N/A
N/A,3887.5,378.71,N/A,N/A
N/A,3060.8,380.7,N/A,N/A
N/A,5057.0,391.23,N/A,N/A
N/A,3836.1,388.67,N/A,N/A
N/A,1416.6,396.57,N/A,N/A
N/A,3011.3,401.55,N/A,N/A
N/A,1152.8,406.85,N/A,N/A
N/A,2435.2,408.57,N/A,N/A
N/A,3554.8,410.67,N/A,N/A
N/A,4609.7,412.47,N/A,N/A
N/A,624.69,418.68,N/A,N/A
N/A,1375.3,440.92,N/A,N/A
N/A,99.959,442.0,N/A,N/A
N/A,1822.0,444.82,N/A,N/A
N/A,1173.1,451.7,N/A,N/A
N/A,3133.2,454.68,N/A,N/A
N/A,992.07,455.79,N/A,N/A
N/A,5005.1,458.53,N/A,N/A
N/A,2845.0,457.72,N/A,N/A
N/A,3157.4,458.76,N/A,N/A
N/A,2293.2,464.62,N/A,N/A
N/A,2945.5,463.54,N/A,N/A
N/A,793.57,466.68,N/A,N/A
N/A,633.28,467.01,N/A,N/A
N/A,2128.6,466.86,N/A,N/A
N/A,3899.6,468.67,N/A,N/A
N/A,1832.4,476.59,N/A,N/A
N/A,3608.8,478.69,N/A,N/A
N/A,3354.6,480.39,N/A,N/A
N/A,1833.3,482.47,N/A,N/A
N/A,2958.4,484.5,N/A,N/A
N/A,873.32,494.05,N/A,N/A
N/A,2790.5,497.22,N/A,N/A
N/A,3810.1,499.34,N/A,N/A
N/A,3514.4,504.03,N/A,N/A
N/A,967.25,516.54,N/A,N/A
N/A,5046.7,519.9,N/A,N/A
N/A,2004.6,524.51,N/A,N/A
N/A,3047.6,523.49,N/A,N/A
N/A,828.53,529.77,N/A,N/A
N/A,2975.6,529.62,N/A,N/A
N/A,4155.0,558.77,N/A,N/A
N/A,2550.8,559.1,N/A,N/A
N/A,1369.9,563.68,N/A,N/A
N/A,4153.2,562.47,N/A,N/A
N/A,2638.9,568.45,N/A,N/A
N/A,521.27,570.16,N/A,N/A
N/A,831.58,580.58,N/A,N/A
N/A,1882.1,607.61,N/A,N/A
N/A,398.74,630.34,N/A,N/A
N/A,3337.9,631.14,N/A,N/A
N/A,874.44,632.29,N/A,N/A
N/A,1385.3,638.14,N/A,N/A
N/A,2533.7,640.73,N/A,N/A
N/A,1604.1,646.08,N/A,N/A
N/A,2676.7,647.25,N/A,N/A
N/A,3735.5,657.13,N/A,N/A
N/A,439.02,659.81,N/A,N/A
N/A,2045.8,660.76,N/A,N/A
N/A,3885.8,676.74,N/A,N/A
N/A,1829.0,687.16,N/A,N/A
N/A,1235.3,689.66,N/A,N/A
N/A,5024.3,690.16,N/A,N/A
N/A,4723.4,689.85,N/A,N/A
N/A,882.0,704.64,N/A,N/A
N/A,4348.5,704.27,N/A,N/A
N/A,2778.7,706.7,N/A,N/A
N/A,1649.8,723.74,N/A,N/A
N/A,329.02,727.81,N/A,N/A
N/A,2066.0,736.86,N/A,N/A
N/A,2663.2,737.04,N/A,N/A
N/A,1901.3,743.18,N/A,N/A
N/A,4902.5,748.6,N/A,N/A
N/A,1808.8,750.3,N/A,N/A
N/A,3450.6,755.91,N/A,N/A
N/A,1176.8,758.19,N/A,N/A
N/A,984.11,760.38,N/A,N/A
N/A,1773.3,765.57,N/A,N/A
N/A,713.34,772.62,N/A,N/A
N/A,2676.3,772.71,N/A,N/A
N/A,1293.0,777.83,N/A,N/A
N/A,3906.4,785.21,N/A,N/A
N/A,2221.7,811.82,N/A,N/A
N/A,946.27,818.91,N/A,N/A
N/A,4479.1,830.79,N/A,N/A
N/A,875.74,838.69,N/A,N/A
N/A,4914.7,836.44,N/A,N/A
N/A,3816.4,842.36,N/A,N/A
N/A,4222.5,857.26,N/A,N/A
N/A,2611.6,861.91,N/A,N/A
N/A,835.41,864.9,N/A,N/A
N/A,1637.3,865.9,N/A,N/A
N/A,309.91,868.62,N/A,N/A
N/A,4253.2,872.04,N/A,N/A
N/A,3659.1,880.07,N/A,N/A
N/A,4729.0,880.06,N/A,N/A
N/A,2887.0,888.7,N/A,N/A
N/A,4050.0,889.55,N/A,N/A
N/A,1684.1,893.91,N/A,N/A
N/A,3023.6,894.05,N/A,N/A
N/A,3257.5,894.29,N/A,N/A
N/A,2404.0,898.67,N/A,N/A
N/A,1372.4,900.16,N/A,N/A
N/A,3101.2,905.23,N/A,N/A
N/A,3411.1,905.57,N/A,N/A
N/A,4986.7,910.44,N/A,N/A
N/A,3323.3,917.21,N/A,N/A
N/A,2100.4,918.87,N/A,N/A
N/A,2794.3,924.42,N/A,N/A
N/A,3171.2,930.62,N/A,N/A
N/A,3563.7,934.4,N/A,N/A
N/A,127.07,946.33,N/A,N/A
