name,x,y,mag,counts
N/A,2079.6,8.7471,N/A,N/A
N/A,4355.0,9.6209,N/A,N/A
N/A,4013.9,13.793,N/A,N/A
N/A,3084.2,16.735,N/A,N/A
N/A,2307.0,23.458,N/A,N/A
N/A,2876.3,24.267,N/A,N/A
N/A,4899.7,26.717,N/A,N/A
N/A,1707.6,31.81,N/A,N/A
N/A,3254.6,33.349,N/A,N/A
N/A,4580.0,35.993,N/A,N/A
N/A,2716.8,40.494,N/A,N/A
N/A,791.41,47.113,N/A,N/A
N/A,2716.8,42.654,N/A,N/A
N/A,3931.0,45.934,N/A,N/A
N/A,78.406,50.379,N/A,N/A
N/A,3454.1,60.8,N/A,N/A
N/A,3375.0,71.129,N/A,N/A
N/A,315.96,72.23,N/A,N/A
N/A,2207.2,77.954,N/A,N/A
N/A,4401.4,100.76,N/A,N/A
N/A,1223.5,104.68,N/A,N/A
N/A,4080.9,106.36,N/A,N/A
N/A,4078.7,112.76,N/A,N/A
N/A,4534.0,150.89,N/A,N/A
N/A,1043.6,156.07,N/A,N/A
N/A,3400.2,157.19,N/A,N/A
N/A,1449.3,158.7,N/A,N/A
N/A,917.48,160.51,N/A,N/A
N/A,3897.6,170.98,N/A,N/A
N/A,3161.7,171.41,N/A,N/A
N/A,3896.2,174.03,N/A,N/A
N/A,3993.8,180.79,N/A,N/A
N/A,1295.6,177.03,N/A,N/A
N/A,4243.9,213.88,N/A,N/A
N/A,2562.5,223.11,N/A,N/A
N/A,2150.2,240.96,N/A,N/A
N/A,3402.0,246.65,N/A,N/A
N/A,2066.6,252.02,N/A,N/A
N/A,3285.8,253.27,N/A,N/A
N/A,946.07,258.82,N/A,N/A
N/A,3677.9,259.45,N/A,N/A
N/A,3428.3,267.72,N/A,N/A
N/A,3540.8,272.03,N/A,N/A
N/A,3539.4,277.47,N/A,N/A
N/A,167.53,281.74,N/A,N/A
N/A,1721.1,288.86,N/A,N/A
N/A,2158.8,295.91,N/A,N/A
N/A,3100.6,300.55,N/A,N/A
N/A,956.79,305.33,N/A,N/A
N/A,3476.0,308.42,N/A,N/A
N/A,4853.5,318.75,N/A,N/A
N/A,1080.8,331.02,N/A,N/A
N/A,4173.2,342.47,N/A,N/A
N/A,312.46,346.21,N/A,N/A
N/A,5063.0,347.62,N/A,N/A
N/A,2258.0,352.48,N/A,N/A
N/A,2928.1,357.82,N/A,N/A
N/A,4826.9,367.97,N/A,N/A
N/A,4915.1,376.28,N/A,N/A
N/A,3886.9,376.42,N/A,N/A
N/A,4912.2,380.84,N/A,N/A
N/A,3834.9,387.33,N/A,N/A
N/A,5054.9,390.51,N/A,N/A
N/A,1415.7,395.53,N/A,N/A
N/A,3010.2,400.39,N/A,N/A
N/A,1152.2,406.49,N/A,N/A
N/A,2434.0,407.55,N/A,N/A
N/A,3553.4,410.03,N/A,N/A
N/A,4607.9,412.65,N/A,N/A
N/A,623.45,417.59,N/A,N/A
N/A,1374.3,439.98,N/A,N/A
N/A,98.573,440.56,N/A,N/A
N/A,990.81,454.92,N/A,N/A
N/A,2843.8,456.67,N/A,N/A
N/A,3131.9,456.41,N/A,N/A
N/A,5003.0,458.13,N/A,N/A
N/A,3156.3,457.41,N/A,N/A
N/A,2944.4,462.28,N/A,N/A
N/A,2291.9,463.83,N/A,N/A
N/A,3899.9,466.05,N/A,N/A
N/A,792.86,465.81,N/A,N/A
N/A,2127.4,465.94,N/A,N/A
N/A,632.72,466.61,N/A,N/A
N/A,1831.0,476.76,N/A,N/A
N/A,3353.7,478.9,N/A,N/A
N/A,3606.1,480.68,N/A,N/A
N/A,2956.4,483.44,N/A,N/A
N/A,871.5,492.5,N/A,N/A
N/A,2789.4,496.42,N/A,N/A
N/A,3808.3,499.11,N/A,N/A
N/A,3513.4,503.07,N/A,N/A
N/A,5045.6,518.36,N/A,N/A
N/A,2003.3,523.1,N/A,N/A
N/A,3046.5,522.23,N/A,N/A
N/A,2974.9,528.31,N/A,N/A
N/A,827.56,528.71,N/A,N/A
N/A,2549.7,557.84,N/A,N/A
N/A,1369.0,562.66,N/A,N/A
N/A,520.07,568.97,N/A,N/A
N/A,2637.7,567.12,N/A,N/A
N/A,830.62,579.64,N/A,N/A
N/A,1881.2,607.17,N/A,N/A
N/A,397.81,628.02,N/A,N/A
N/A,3336.5,629.13,N/A,N/A
N/A,873.51,631.31,N/A,N/A
N/A,1384.5,637.33,N/A,N/A
N/A,2532.6,639.58,N/A,N/A
N/A,1603.7,644.51,N/A,N/A
N/A,2675.5,646.8,N/A,N/A
N/A,438.07,659.22,N/A,N/A
N/A,2044.8,659.45,N/A,N/A
N/A,3884.6,675.71,N/A,N/A
N/A,1828.0,686.02,N/A,N/A
N/A,5023.7,688.07,N/A,N/A
N/A,4723.3,688.07,N/A,N/A
N/A,1234.3,688.55,N/A,N/A
N/A,2652.6,700.52,N/A,N/A
N/A,880.96,703.65,N/A,N/A
N/A,2777.3,705.24,N/A,N/A
N/A,4346.9,703.87,N/A,N/A
N/A,1648.8,722.61,N/A,N/A
N/A,328.11,727.01,N/A,N/A
N/A,2064.9,735.88,N/A,N/A
N/A,2662.3,736.11,N/A,N/A
N/A,4902.0,746.04,N/A,N/A
N/A,1807.8,749.41,N/A,N/A
N/A,3449.3,754.7,N/A,N/A
N/A,1176.5,758.3,N/A,N/A
N/A,984.03,760.35,N/A,N/A
N/A,1772.3,764.59,N/A,N/A
N/A,712.75,771.7,N/A,N/A
N/A,2675.1,771.62,N/A,N/A
N/A,1292.2,776.0,N/A,N/A
N/A,3906.0,782.49,N/A,N/A
N/A,4096.6,782.61,N/A,N/A
N/A,2220.7,810.58,N/A,N/A
N/A,4366.8,813.69,N/A,N/A
N/A,945.28,817.82,N/A,N/A
N/A,4477.5,829.95,N/A,N/A
N/A,4913.7,834.51,N/A,N/A
N/A,875.4,837.97,N/A,N/A
N/A,3815.4,840.83,N/A,N/A
N/A,4221.3,855.69,N/A,N/A
N/A,2610.2,860.34,N/A,N/A
N/A,834.39,863.82,N/A,N/A
N/A,1636.3,864.87,N/A,N/A
N/A,1415.5,867.37,N/A,N/A
N/A,309.07,867.92,N/A,N/A
N/A,4252.2,870.5,N/A,N/A
N/A,3658.1,878.54,N/A,N/A
N/A,4728.4,878.38,N/A,N/A
N/A,4049.2,887.9,N/A,N/A
N/A,3256.3,893.06,N/A,N/A
N/A,4838.0,891.93,N/A,N/A
N/A,1683.2,893.11,N/A,N/A
N/A,3022.8,892.69,N/A,N/A
N/A,2402.9,897.45,N/A,N/A
N/A,1371.4,899.22,N/A,N/A
N/A,3410.3,903.84,N/A,N/A
N/A,3099.7,905.94,N/A,N/A
N/A,4986.5,907.4,N/A,N/A
N/A,3322.4,915.73,N/A,N/A
N/A,2099.2,917.7,N/A,N/A
N/A,2793.3,923.47,N/A,N/A
N/A,3170.3,929.28,N/A,N/A
N/A,3562.6,933.2,N/A,N/A
N/A,850.22,956.22,N/A,N/A
N/A,2199.4,956.67,N/A,N/A
N/A,583.08,963.09,N/A,N/A
N/A,800.17,966.05,N/A,N/A
N/A,1010.6,966.23,N/A,N/A
N/A,3614.6,968.43,N/A,N/A
N/A,1342.0,972.92,N/A,N/A
N/A,4819.2,975.49,N/A,N/A
N/A,4225.5,981.95,N/A,N/A
N/A,3017.0,985.91,N/A,N/A
N/A,684.42,986.9,N/A,N/A
N/A,2285.0,986.31,N/A,N/A
N/A,1733.1,989.28,N/A,N/A
N/A,366.18,999.29,N/A,N/A
N/A,2074.9,1007.3,N/A,N/A
N/A,4854.7,1016.2,N/A,N/A
N/A,5025.2,1016.9,N/A,N/A
N/A,2523.8,1018.5,N/A,N/A
N/A,3081.9,1025.2,N/A,N/A
N/A,1104.9,1038.5,N/A,N/A
N/A,3333.8,1043.8,N/A,N/A
N/A,592.51,1048.2,N/A,N/A
N/A,3798.9,1047.3,N/A,N/A
N/A,559.79,1058.2,N/A,N/A
N/A,1227.9,1056.4,N/A,N/A
N/A,439.72,1060.2,N/A,N/A
N/A,3152.6,1061.9,N/A,N/A
N/A,1518.9,1064.1,N/A,N/A
N/A,1138.0,1064.8,N/A,N/A
N/A,1809.2,1069.1,N/A,N/A
N/A,931.86,1074.2,N/A,N/A
N/A,3311.5,1075.5,N/A,N/A
N/A,4945.5,1077.6,N/A,N/A
N/A,4046.9,1085.2,N/A,N/A
N/A,4621.8,1087.1,N/A,N/A
